PRICE,BEDS,TYPE,BATH,PROPERTYSQFT,LATITUDE,LONGITUDE,ZIPCODE,BOROUGH,NEIGHBORHOOD,PRICE_PER_SQFT
849000.0,4.0,Multi-family home,3.0,2184.207862,40.6895034,-73.8684501,11208,Brooklyn,East New York,388.69926931890143
199000.0,2.0,Co-op,1.0,2184.207862,40.7092156,-73.7912209,11432,Queens,Jamaica,91.10854486980139
899000.0,4.0,House,2.5,2184.207862,40.7646585,-73.780903,11361,Queens,Bayside - Little Neck,411.59086350729376
699000.0,3.0,House,2.0,2350.0,40.6095856,-73.9253159,11234,Brooklyn,Canarsie - Flatlands,297.4468085106383
739000.0,3.0,House,1.0,1148.0,40.7386816,-73.7202723,11426,Queens,Southeast Queens,643.7282229965157
425000.0,3.0,Multi-family home,2.0,1700.0,40.8817944,-73.8617772,10467,Bronx,Fordham - Bronx Park,250.0
300000.0,2.0,Co-op,1.0,900.0,40.6479387,-74.0852701,10301,Staten Island,Stapleton - St. George,333.3333333333333
569000.0,3.0,House,3.0,1780.0,40.8147819,-73.8265252,10465,Bronx,Pelham - Throgs Neck,319.6629213483146
789000.0,5.0,House,3.0,1273.0,40.7084501,-73.7316272,11429,Queens,Southeast Queens,619.7957580518461
350000.0,2.0,Co-op,1.0,825.0,40.711175,-73.957086,11211,Brooklyn,Greenpoint,424.24242424242425
1250000.0,7.0,Multi-family home,4.0,2184.207862,40.6468782,-74.0136737,11220,Brooklyn,Sunset Park,572.2898547098077
