ZipCode,Population,PopulationDensity,MedianHouseholdIncome,DiversityIndex,FamilyHousehold,SingleHousehold,AvgMonthlyArrests,entertainment_and_recreation,financial_services,food_and_beverage,home_services,parking_and_automotive_services,professional_services,retail_services,transportation,TotalBusinesses,BusinessTypeCount,AvgMonthlyNoiseComplaints,cultural_facility,education_facility,health_services,public_safety,recreational_facility,religious_institution,transportation_facility,passenger_count,BusinessDensity,ArrestsPerCapita,NoiseComplaintsPerCapita,FamilyHouseholdRatio,cultural_facility_density,education_facility_density,health_services_density,public_safety_density,recreational_facility_density,religious_institution_density,transportation_facility_density,AmenityScore,SafetyScore,QuietScore,FamilyFriendlinessScore,BusinessEnvironmentScore,IncomeCategory,PopulationDensityCategory,LivelinessScore,Latitude,Longitude,BOROUGH
10301,0.35052023121387277,0.06711942017585752,0.17376613515565675,0.7891416597583354,0.34235318530815523,0.23964874576043516,0.7297237175779685,0.09782608695652173,0.03125,0.0,0.3,0.1839080459770115,0.1917808219178082,0.1924198250728863,0.010101010101010102,0.24102030192608037,0.8333333333333333,0.2177820529142442,0.15000000000000002,0.45121951219512196,0.23076923076923078,0.25,0.5274725274725276,0.6571428571428571,0.8780487804878049,9405.5,0.026068564908509263,0.16109969315807282,0.20514053785971123,0.5215640020348038,0.09335239006699238,0.2650315182444626,0.09096861935223893,0.1097441192766836,0.11590028588040531,0.32543062476947493,0.0800195724287801,0.6540084388185654,0.8308956790167699,0.792726771712779,0.5215640020348038,0.8333333333333333,Medium,Very Low,0.1927055830037748,40.627456,-74.094407,Staten Island
10302,0.1598335260115607,0.10314773716886254,0.17373291571753985,0.8475763981779039,0.16244034031956833,0.054870882165284254,0.29249899897673176,0.010869565217391304,0.03125,0.0,0.24285714285714285,0.14942528735632182,0.1232876712328767,0.1924198250728863,0.0,0.22436231129620055,0.6666666666666665,0.07630882831397733,0.025,0.1951219512195122,0.038461538461538464,0.2,0.16483516483516486,0.5428571428571428,0.43902439024390244,3390.5,0.07346170934608615,0.1348001288863821,0.1426132697206205,0.7522463059768818,0.03236457460184409,0.23840287858033646,0.031538139145012564,0.18262782900251462,0.07757717848832807,0.5592163967228184,0.08322655969344989,0.2869198312236287,0.860855141851367,0.8557861480372964,0.7522463059768818,0.6666666666666665,Medium,Low,0.08747409971923727,40.630688,-74.137776,Staten Island
10303,0.22687630057803465,0.04986375256341826,0.14856207289293855,0.9137328311024899,0.24204191741025102,0.0745659693072299,0.10920051608310716,0.021739130434782608,0.03125,0.0,0.2464285714285714,0.26436781609195403,0.0547945205479452,0.22448979591836735,0.010101010101010102,0.2347735554398751,0.8333333333333333,0.08734009496461224,0.0,0.03658536585365854,0.0,0.1,0.1098901098901099,0.11428571428571428,0.34146341463414637,4400.5,0.04839619621739908,0.03387196251776978,0.11123256849338342,0.8444888954057075,0.0,0.03239715618479797,0.0,0.06618065838933819,0.03686161784111009,0.0853258080438779,0.04691498652086419,0.11392405063291139,0.9647185824431084,0.8874728189029497,0.8444888954057075,0.8333333333333333,Low,Very Low,0.11436386140056018,40.629885,-74.17413,Staten Island
10304,0.37352138728323697,0.06737927353428659,0.1563022019741837,0.8573126986080202,0.4064743722764059,0.1877497565398435,0.1394536637451617,0.021739130434782608,0.0,0.0,0.34285714285714286,0.27586206896551724,0.1232876712328767,0.18075801749271136,0.05050505050505051,0.2462259239979181,0.6666666666666665,0.21055597206701276,0.025,0.5,0.07692307692307693,0.25,0.2307692307692308,0.19999999999999998,0.12195121951219512,9742.5,0.02350665519521577,0.025734463908371336,0.1832782319518025,0.7196577328895748,0.014641646718650012,0.2763728580570236,0.02853553907046192,0.10327542483350317,0.04690596144779568,0.09320610436068356,0.010458742309997259,0.3206751054852321,0.9744997577826418,0.8147633960045653,0.7196577328895748,0.6666666666666665,Medium,Very Low,0.1963365868437763,40.609227,-74.092575,Staten Island
10305,0.36941502890173405,0.05986459533106723,0.2397779043280182,0.4777409154269788,0.4207926955799959,0.21468148695389366,0.09718823686435021,0.13043478260869565,0.03125,0.0,0.5107142857142857,0.41379310344827586,0.1780821917808219,0.20699708454810495,0.0,0.2873503383654352,0.6666666666666665,0.09620943139113254,0.07500000000000001,0.12195121951219512,0.07692307692307693,0.2,0.3516483516483517,0.14285714285714285,0.36585365853658536,5492.0,0.024264847340826186,0.016972750324664963,0.06539258982974955,0.675262969564739,0.04439208124745502,0.06812489739786376,0.02883901410812234,0.08349900596421468,0.07295099024872019,0.067283821362536,0.03170991264119243,0.2742616033755274,0.9832795048644272,0.9338065839691012,0.675262969564739,0.6666666666666665,High,Very Low,0.13721572682232092,40.596691,-74.074866,Staten Island
10306,0.5003745664739883,0.043444672303845834,0.2637386104783599,0.23389224394656022,0.6019506121601992,0.30439235703012185,0.19884771099345994,0.08695652173913043,0.0625,0.0,0.6071428571428571,0.29885057471264365,0.1917808219178082,0.24489795918367346,0.07070707070707072,0.30609057782405014,0.8333333333333333,0.13450412346342636,0.07500000000000001,0.21951219512195122,0.11538461538461539,0.4,0.38461538461538464,0.4857142857142857,0.2682926829268293,7394.5,0.013651087371997932,0.0277528438511903,0.06922427019500643,0.6957500751495436,0.03314895633976641,0.09156778720124034,0.03230249154876674,0.12470264179291347,0.05876456179757819,0.17082597931315807,0.017364441707570726,0.3755274261603375,0.9729748987816684,0.929931497147436,0.6957500751495436,0.8333333333333333,High,Very Low,0.16789376323514477,40.571768,-74.12595,Staten Island
10307,0.11366473988439305,0.04135882237267186,0.31427961275626426,0.10658066588695661,0.13479975098568164,0.03977635246314515,0.08673310495172842,0.0,0.0,0.0,0.1607142857142857,0.05747126436781609,0.0136986301369863,0.04081632653061224,0.0,0.17855283706402947,0.33333333333333326,0.03891002881001891,0.05,0.07317073170731708,0.0,0.15000000000000002,0.1098901098901099,0.3142857142857143,0.5609756097560976,1451.5,0.10483319910717342,0.05324203835480676,0.09017278369007165,0.7634232086607098,0.08765252553916004,0.12106184767863568,0.0,0.18547814982973893,0.07197561361774753,0.43841309362527914,0.14400640505918602,0.20675105485232065,0.9475711672129634,0.9087525492843014,0.7634232086607098,0.33333333333333326,Very High,Very Low,0.0,40.509183,-74.237785,Staten Island
10308,0.23630982658959535,0.08827288816473298,0.3219580485952923,0.1042490076066303,0.2979456318738327,0.12461801940965105,0.03267784846732215,0.05434782608695652,0.0,0.0,0.2571428571428571,0.1724137931034483,0.0410958904109589,0.06997084548104957,0.010101010101010102,0.20770432066631983,0.6666666666666665,0.052148020313185176,0.125,0.12195121951219512,0.0,0.1,0.17582417582417584,0.17142857142857143,0.6829268292682927,1960.5,0.045600650280249504,0.007316858611929341,0.049186271894789364,0.7415412951929847,0.1129098585371203,0.10396411673295369,0.0,0.06371312643930255,0.05658721058799354,0.12321667981421278,0.09033154220126478,0.25738396624472576,0.9930221644058541,0.9502007963802725,0.7415412951929847,0.6666666666666665,Very High,Very Low,0.030990196587003017,40.551884,-74.147646,Staten Island
10309,0.28405086705202304,0.024896760963002508,0.3135203113135914,0.17330607886355154,0.32824237393650135,0.12582692501427173,0.06593406593406592,0.0,0.0,0.0,0.46428571428571425,0.3103448275862069,0.0821917808219178,0.13994169096209913,0.020202020202020204,0.25663716814159354,0.5,0.050061533673772515,0.05,0.08536585365853659,0.038461538461538464,0.1,0.1318681318681319,0.2857142857142857,0.2682926829268293,1779.0,0.035977001391661684,0.0145561828331035,0.03249700711796071,0.7880985227519968,0.03799471078446447,0.06122274482685169,0.018512254374365752,0.053599434176942705,0.03512895177368374,0.1727625239438184,0.029854195129880117,0.16455696202531644,0.9849825143438373,0.9670908351632193,0.7880985227519968,0.5,Very High,Very Low,0.020974235271709735,40.531346,-74.219857,Staten Island
10310,0.2141595375722543,0.0885467876506447,0.19785971905846622,0.7975496723732944,0.23340942104170986,0.08848517411598777,0.10786581839213417,0.010869565217391304,0.0,0.0,0.24285714285714285,0.4482758620689655,0.1095890410958904,0.1574344023323615,0.010101010101010102,0.23529411764705888,0.6666666666666665,0.12916884745778698,0.15000000000000002,0.10975609756097561,0.07692307692307693,0.2,0.6373626373626374,0.5428571428571428,0.24390243902439024,3347.5,0.05206392298979327,0.03552820668841855,0.19302926517084515,0.7582106480875412,0.14849170739524079,0.1025451369007721,0.04823331463825014,0.13965227145260797,0.2252525179141557,0.42762289001863474,0.035356599173601025,0.430379746835443,0.9651139333421028,0.80493305604017,0.7582106480875412,0.6666666666666665,Medium,Very Low,0.08615785937191768,40.632648,-74.116148,Staten Island
