zipcode,avg_home_value,median_household_income,median_age
10465,640996.9152138884,80245.0,39.5
11413,670911.9913013857,104236.0,40.1
10040,485791.9901075864,54700.0,39.6
10305,666385.0793412233,76833.0,41.1
10019,1128626.511007188,105538.0,40.4
11365,952995.1070799972,73279.0,42.1
10028,1259998.5288922037,149789.0,40.4
10304,644474.8702265564,64539.0,38.8
11357,957962.2560722772,88580.0,46.6
10034,440058.73648283776,63851.0,37.3
11421,684710.7182615831,76721.0,39.0
11217,1365618.712697178,133269.0,35.5
11249,1202171.6859049287,77378.0,38.5
11412,663318.1748185459,93429.0,40.2
11367,510914.8816292104,71469.0,37.1
10455,399634.3937833598,30741.0,31.6
10021,1218660.3294413798,136060.0,44.5
11222,1181233.5533383323,110385.0,34.9
11433,643751.4924516975,68801.0,34.4
11231,1555537.4270188715,121638.0,36.7
10454,739504.4375924058,21846.0,32.3
11378,815318.977347659,85464.0,39.5
11379,847543.9872180602,88672.0,43.3
10301,676911.8287004896,78053.0,39.0
11105,1023531.9745684128,93200.0,36.2
11364,624426.1578179919,90970.0,45.6
11106,580072.3660431989,71972.0,35.9
11358,1017758.411574994,74854.0,42.8
10026,807692.4120534947,65038.0,35.7
11418,689543.3396918842,77708.0,39.2
10035,594971.2854288375,32555.0,36.3
10309,741333.5110244317,107500.0,40.5
11101,1013742.5913875286,98920.0,34.0
11103,894904.7598463148,82597.0,35.2
10022,1008622.8936395023,156255.0,49.3
11422,664429.9169594584,95945.0,40.0
10010,1254209.244900297,131635.0,36.0
11417,692744.1533023138,78498.0,35.6
10030,650347.693938275,42834.0,37.6
10014,1563894.8251901043,136559.0,39.2
11423,749864.2321088699,69386.0,41.7
11414,600350.7363131169,86113.0,46.2
11369,797932.8867826414,66132.0,40.7
11361,933577.2538261734,93734.0,44.4
11232,622825.1595949491,77031.0,34.9
10308,673303.4487240355,116082.0,42.8
10065,1420414.8012167038,152335.0,37.7
10013,3292580.948455322,137572.0,39.6
11102,621488.8819690936,95478.0,35.0
10075,1026803.3628851748,131372.0,43.0
10303,500854.57606534514,69879.0,34.6
11429,669917.1434971081,89318.0,42.0
11416,685797.4735819929,76477.0,36.2
10036,959445.2825399678,98177.0,39.7
10001,1665111.7776104638,101409.0,35.8
11104,477820.9515393097,81142.0,38.7
11356,796028.3768287216,73318.0,38.6
10039,618124.8150977967,50164.0,35.8
10310,636511.9121021144,96161.0,38.4
11427,725170.1335451604,84000.0,43.5
10012,2404092.067883693,117581.0,35.2
10471,396513.2407686909,96368.0,46.0
11370,733985.5706930971,67241.0,38.5
11428,712605.1673441775,83417.0,43.6
11426,734412.8809125392,102818.0,44.1
11694,870127.4141692378,88643.0,46.2
11436,628814.3504309388,78306.0,37.1
11692,560119.1020740977,53498.0,36.9
11411,654453.6386441764,108131.0,46.3
11360,573459.9381751949,92851.0,50.5
10037,485950.2829089691,48782.0,39.1
11415,327029.0245715103,80360.0,41.4
11362,658797.9856963324,100528.0,50.2
10017,660569.4703945075,136112.0,40.7
10302,570269.5951146494,73927.0,35.4
11239,615987.2649916654,33736.0,45.8
10470,594409.8360835046,70107.0,39.3
11004,613207.2830443376,100174.0,42.6
11366,1021747.0432626952,100781.0,41.4
10307,767885.1907057347,117469.0,42.6
10044,862171.9005365791,115294.0,41.4
10005,1059507.3059532896,197188.0,30.3
10007,2944184.422260118,250001.0,34.0
10018,1305453.3166483417,130457.0,34.2
10069,1828785.6583309548,183178.0,38.6
10280,756030.9726101336,178148.0,45.0
11363,1040651.8168337736,98111.0,49.6
10282,2153481.502993077,250001.0,38.8
10464,655831.8924715574,118972.0,47.4
10006,1057516.8266813664,200536.0,31.9
10004,1133366.4188474277,216017.0,33.9
11693,499000.0,64688.0,40.0
11005,384000.67,60800.0,86.0
10474,434500.0,33157.0,30.6
11697,1182500.0,113047.0,50.0
10475,960000.52,56327.0,46.7
11359,770000.82,100016.0,40.2
11109,662500.0,160898.0,34.5
10038,1100000.0,99924.0,35.1
